"","business_id","name","state","review_count","stars"
"197","fB7XYJYrTtchlTmzSQVMbQ","Pittsburgh Pirates","PA",10,3.5
"694","NRS-Snzp3Izblw2OmmlsuQ","Best Buy Pineville","NC",11,2.5
"767","BBo2Xa3MeC7EMuhhrSbycw","Main Library","NC",13,3.5
"1023","gfQriEp9aqLZgMhRSU5KJw","Harris Teeter","NC",11,3.5
"1172","ULvDCr7r9sMU1iSwgTHXsA","Bombay Cuisine","NC",8,3.5
"1564","yCbzzYKkPe1kfeMDdGq03Q","Enterprise Rent-A-Car","WI",10,3
"1592","SqdO4jenDHNwHeSKmULPrA","Menards","WI",9,2
"2063","4YY3AwkTbKQ2tJLzpYFD7w","ABC15, KNXV-TV Phoenix","AZ",9,4.5
"2506","yLfYR-PvIzAv9DnEH68Rgw","The Bamboo Club","AZ",13,2.5
"5169","RLwo3ykwR0ZzaU95Tpp97g","Men's Wearhouse and Tux","AZ",11,4
"5423","4r9BfViVzFsN5W-ClcvuZQ","Party City","AZ",12,3
"5492","lrSv_9iHCrbAFpPin2LcqQ","Carl's Jr","AZ",8,3.5
"6960","4md3usAFQZiNJAeTYtZ_Ow","Goodwill","NV",11,3.5
"7731","uLf-7MqldnPr1fPa9WHiqA","Adidas","NV",10,3
"8118","CGewmmQB7QqS2dhIClLghQ","St Elizabeth Ann Seton Catholic Church","NV",12,4.5
"9054","BFG2ed8LgIo5TNsrwgxu8g","Panera Bread","PA",9,3
"9423","ncYJ3e7Cd0ule7vbFnJBKw","Hibachi Grill","NC",10,3
"9715","tYPBv2JuDinWie04ZrspKw","Party City","NC",9,3
"9857","Fa32gmUQ5FxTiX7fn9_J6A","Bed Bath & Beyond","NC",12,3.5
"10947","mgtbxxT0x82Vvj1K5ql62A","Churchs Chicken","AZ",10,3.5
"11072","XJIFZ_RWp2EMduAuyhVr8Q","Starbucks","AZ",12,3
"11098","CpfGjyBi2MXgC-c5X7hSdA","Albertsons","AZ",11,3
"11136","PSAK5sUss8yiN7Q_72Zlxw","Boston Market","AZ",12,3
"11282","H3IBlFr4WTmMupkUcX7cDA","Sonic Drive-In","AZ",10,3.5
"12256","6yVe_iet5qD7SzVMhRYYog","944 Media","AZ",10,3
"12355","_dVPzYGXKNg2rIsc40VtyA","Jack-In-the Box","AZ",9,3
"12364","Hw3GaaJ6dxpYP7jy7s0UuQ","Scottsdale Historical Museum","AZ",11,4.5
"12413","ng4_UnnYPqesby9C0WVz2Q","See's Candy Shops","AZ",10,4.5
"12876","Lub4-HPEabYInC2befLfeg","Plaid Eatery","AZ",12,3
"12888","IVRfWBL3u4qD6QC4l9ne8A","Cold Stone Creamery","AZ",9,4
"13007","LwXdbxvbpW1hYQs3SyHbsg","Salvation Army","AZ",14,3
"13012","PUsrS8Ot0UBygW1hk9wg2g","Big Lots","AZ",10,3.5
"14012","dZVkAatXi1tABaHTwuS1Sg","Cashman Center","NV",16,3.5
"14834","0_0XEqWPy4LizKqzC9fc8A","Smart & Final","NV",13,4
"15269","eXaty-8Qx6_m1gHsKBKdrw","Winchell's","NV",12,4
"15593","BfwlAMnhBoPGgDnt6ikg7Q","Office Depot","NV",12,3.5
"15598","8p1hx2a-GYQAhQzP5F7yDQ","Burger King","NV",11,1.5
"15767","Pc9C4WSs2l8AKXi_S3n6nA","Ross Dress for Less","NV",11,3
"16240","-aj2RXujkYWEl8M5QMRcIg","Cold Stone Creamery","NC",10,3.5
"16893","WjObwOfyoqezSaNY_YbBOQ","BodyN'Sole","IL",10,4.5
"17113","1MDfrVkvxMKS06jPNPhLcA","Phoenix Mercury","AZ",10,5
"17218","Q98SKYmaGmQa4yBBYcGyjA","Teahouse","NV",11,2
"17296","0QFxzJAd_6SQ55LSTc_v4g","The Body Shop","AZ",9,4
"17523","lg1YA74CwLsclHRlZ1PLkw","Art Gecko - Monroe","WI",10,4
"17591","tl5iayFkG9E26x2VP-z97g","Fry's & Fry's Marketplace","AZ",10,3
"18823","vuTx_fB-K_b3-WWjXiTdJg","Taco Bell","AZ",8,2.5
"19807","loj-LzdcfSlCWUXRQEN7iA","Autozone","AZ",12,4.5
"20070","08q-qBVhLCa3PX4F79NUjg","7-Eleven","NV",10,3
"20248","DWkqbIM93bNRrpPFn_765g","Wells Fargo Bank","NV",10,3
"21341","QvXKpK2KsguA8j22Ak65dQ","Del Taco","NV",11,3.5
"22265","Cft0YsPTgjX1y6Lup8MTDw","Blue Spoon Cafe","WI",9,3.5
"22764","kw9iQm6OBJxP1ot7R5Qn7A","Crate and Barrel","AZ",14,4.5
"23301","fkNFdhg5QvsgXFLTlwTlzA","Lyte Lounge & Bistro","AZ",10,3.5
"23715","s7qOeE422mBDlDiXAVGTZg","TrySports","NC",12,3.5
"24054","kZAoXp62AfYWYUtxId6lYQ","Bi-Lo","NC",10,3.5
"24482","om3ZJHszbwlhFskOGPwHSw","Divan Orange","QC",18,4
"24671","YtgAM-T9aWkvYIrxMZ4eEg","Le Mondial De La Biere","QC",12,4
"25050","PaAgxdubIo7JOFIOVqhKJw","Banh Mi Cao Thang","QC",9,2
"25433","2V3Vg7towuCOaNyH4xoy0Q","Dilallo Burger Original 1929","QC",11,4
"26279","W2Rdyunz3NCwq6oxZV3IIQ","University of Waterloo","ON",9,4
"26293","vamPlNrrNVfk2clk_U5Z4Q","Waterloo Inn","ON",10,3
"26394","y04keRdBx89C5HgFBkAOCw","Albertsons","NV",11,3
"26520","QWloDz39uJg65s5UIGhERQ","Salvatore Ferragamo Outlet","NV",12,4
"26714","C1KYIuyfICK7M_HMFpJrXg","941 Saloon","PA",9,3
"27729","977bNUO9ogk401SQcTk-CA","Museum Of Edinburgh","EDH",14,3.5
"28091","AAfz3QT49k_pVJyXHck0Hg","Vue Cinema","EDH",12,3.5
"28268","F-h9vlQqXZNaRQZPItT7dA","The Red Door Gallery","EDH",13,4.5
"28666","-AjqYb-cws0GtZsHTsGQ7w","Deep Sea Carry-Out","EDH",12,4
"30667","U7ikf8xRzJ6Fnq_yrfiMGg","Albertsons","AZ",9,3
"32188","SwMqbqCLXy8XDH1rEGQ8rw","Yuri's Popcorn & More","AZ",7,5
"32335","wTdSQoVHBA1HHOBLa_t8Pg","Dunkin' Donuts","PA",10,2.5
"33371","VM7RYGsrgDtGrncROm7Snw","Goodwill Industries of the Southern Piedmont","NC",9,3
"33444","dtKXcHThcRQ7w5q5QdihpA","Starbucks","NC",10,3.5
"33942","OKXu4LREh5xsUGxLVf5RRw","Eat'n Park Restaurant","PA",12,3.5
"35146","lig_u5J0jLjMnwhrNZsL_w","Arizona Coyotes","AZ",11,4
"37566","7sc5j9G5A79MTXrRC6sOiQ","Seoul Mart","PA",11,2.5
"37694","RKjWNwQ7rQ1Ehg0zezoM2Q","Debenhams","EDH",20,3.5
"38005","hPr5ixQA-87OxrycpokTSw","City Sightseeing","EDH",14,3.5
"38641","sqff-qhp1il7IM4T6Cd39g","Brett Wesley Gallery","NV",10,4.5
"38950","vFU13-fHLAYt-3EytT-cfg","Ross Dress for Less","NV",12,3
"40308","scqwZPzH8qYXWmedtZa_7w","Prantl's Bakery","PA",16,3.5
"40979","GuZpuPZhffsbDF7l3Nd0KA","Koko Restaurant + Bar","QC",11,2.5
"41284","L3D_HmxBnfV276Skw6s1fw","Carnegie Library Music Hall","PA",11,3.5
"41561","o25PsJyVUFV83i4GqxtqfQ","Shell","AZ",9,2
"42016","wG3IS6d6WHrAAR6HSjubqw","Gap Outlet","NV",10,3.5
"43182","jZFw_O_p6OFZmOb6ZD3SCQ","FedEx Ship Center","NV",10,2.5
"44126","YnOiE0H5QVSYBb8l3neAXA","Bar Terrasse La Cabane","QC",11,3.5
"45460","edJc-9e34tUNl5Jk62tBZA","GetGo","PA",10,2
"45733","OLsVfrlD7WtNnnv3dapnSw","USPS Post Office","AZ",10,2.5
"45862","nTvdMPju3cciuizDSlOLRA","USPS Post Office Phoenix Sierra Adobe","AZ",10,1.5
"46395","riGpfOyQ3OXve64_h4E4Gg","Marché Des Saveurs","QC",11,4.5
"46803","qQ74TYlvuqJXZ-xvlN01WQ","Ross Dress for Less","NV",10,3.5
"47660","aneorctabCUXJv5hP_a7DA","Bare Escentuals Outlet","NV",9,4
"48110","h38B6D2yfytGJGR1UEqT8Q","China Buffet King","PA",11,2
"48767","-4mNZfAXMd2mxEsD2YRcaQ","McDonald's","NV",14,3
"49226","gHNo832E-RDTmhmc97Mb3w","Maple Leaf Air Canada Lounge","QC",10,3.5
"53459","x8NwqPq2WNK6Gl1nhMFJuw","Raack n Roll","NV",10,3
"54733","dsRxq0fFtSS9RzG5VOCvag","Concerts on the Square","WI",10,5
"57586","CK39PsAsLIDlgAqxqloGsA","Rascals","EDH",9,4
"59118","lIbgIjefjqdkeRsIZmR1sg","The Edgewater","WI",11,3.5
